assetid,balltype,teamcolor1g,teamcolor1r,clubworth,teamcolor2b,teamcolor2r,foundationyear,teamcolor3r,teamcolor1b,opponentweakthreshold,latitude,teamcolor3g,opponentstrongthreshold,teamcolor2g,teamname,teamcolor3b,defmentality,powid,defensivestyle,rightfreekicktakerid,flamethrowercannon,domesticprestige,genericint2,defensivedepth,hasvikingclap,jerseytype,popularity,hastifo,teamstadiumcapacity,iscompetitionscarfenabled,cityid,defensivewidth,rivalteam,isbannerenabled,midfieldrating,matchdayoverallrating,matchdaymidfieldrating,attackrating,playersinboxcorner,longitude,buspassing,matchdaydefenserating,defenserating,iscompetitionpoleflagenabled,skinnyflags,defteamwidth,longkicktakerid,bodytypeid,trait1vweak,busdribbling,rightcornerkicktakerid,suitvariationid,uefa_cl_wins,domesticcups,defaggression,ethnicity,leftcornerkicktakerid,youthdevelopment,teamid,uefa_el_wins,trait1vequal,suittypeid,numtransfersin,playersinboxfk,stanchionflamethrower,captainid,offensivestyle,personalityid,playersinboxcross,prev_el_champ,leftfreekicktakerid,leaguetitles,genericbanner,buspositioning,ccpositioning,busbuildupspeed,transferbudget,ccshooting,overallrating,offensivewidth,ccpassing,profitability,utcoffset,penaltytakerid,freekicktakerid,crowdskintonecode,defdefenderline,internationalprestige,trainingstadium,form,genericint1,cccrossing,trait1vstrong,matchdayattackrating
468,121,255,255,4837,60,40,1923,240,255,1,38,255,1,100,Elche CF,240,45,-1,1,204863,4,2,-1,3,0,2,4,0,33722,2,153,4,1853,1,68,67,68,68,2,0,52,66,67,2,0,39,179528,0,1056840,49,204863,0,0,0,31,2,204863,4,468,0,1073224,2,0,2,0,243945,1,0,2,0,204863,0,0,0,0,52,1745512,39,67,5,31,7,1,237524,204863,2,0,1,353,0,-1,69,528456,68
469,121,2,2,2500,11,200,2007,254,112,1,38,254,1,3,Extremadura UD,254,47,-1,1,201515,4,1,-1,2,0,2,1,0,11580,2,691,4,110066,1,67,66,66,68,2,-6,71,65,66,2,0,52,201515,1,266304,50,201515,1,0,0,49,2,201515,4,469,0,1069120,0,0,2,0,243989,2,0,2,0,201515,0,0,0,0,73,1291667,62,67,6,79,7,1,201515,201515,2,0,1,353,0,-1,80,526400,69
472,121,235,255,50000,173,9,1949,255,0,2,28,204,3,78,UD Las Palmas,0,48,-1,1,115909,4,9,-1,4,0,2,4,0,31250,2,264,3,260,1,72,73,72,76,2,-15,39,73,72,2,0,39,205157,0,99332,51,205157,1,0,0,43,2,205157,7,472,0,1082372,0,0,2,0,146059,0,0,4,0,115909,0,0,0,1,37,8583333,57,73,3,37,5,0,115909,115909,2,0,1,353,0,-1,57,526340,77
477,121,44,210,4000,174,36,1945,16,44,2,41,97,3,117,CD Numancia,154,48,-1,1,229991,4,7,-1,4,0,2,3,0,9025,2,458,5,462,1,68,70,68,71,2,-2,66,70,70,2,0,63,229991,1,73736,45,229991,1,0,0,39,2,229991,4,477,0,1052680,1,0,2,0,219180,2,0,2,0,229991,0,0,0,0,66,2004444,73,70,5,69,4,1,205158,229991,2,0,1,353,0,-1,45,526344,73
479,121,0,193,15000,93,18,1920,203,5,2,42,10,2,25,CA Osasuna,15,75,-1,2,196942,4,7,-1,6,0,2,3,0,19800,2,370,6,463,1,72,70,72,70,2,-1,72,68,69,2,0,65,196942,2,188416,75,211022,1,0,0,55,2,211022,7,479,0,299008,2,0,2,0,190432,2,0,5,0,206651,0,0,0,0,68,4350000,67,70,6,69,5,1,206651,196942,2,0,1,353,0,-1,35,526336,70
480,121,255,255,10000,0,255,1924,255,255,3,40,234,5,0,Rayo Vallecano,240,27,-1,0,186197,4,2,-1,4,0,1,5,0,14505,2,295,6,100888,1,74,75,75,76,2,-3,68,75,74,2,0,34,172285,0,1056770,33,186197,1,0,0,27,2,186197,5,480,0,528386,1,0,2,0,186681,2,0,2,0,210315,0,0,0,0,72,3300000,71,74,6,73,6,1,173030,186197,2,0,1,353,0,-1,33,526338,74
481,121,0,249,960000,255,255,1905,230,0,4,37,0,2,255,Sevilla FC,0,66,-1,2,189513,4,7,-1,5,0,2,8,1,45500,1,445,5,449,1,79,79,79,80,3,-5,67,77,77,2,0,58,189513,0,172064,58,189513,1,0,5,68,4,189513,7,481,5,151584,1,0,2,0,179645,0,0,5,0,189513,1,0,0,0,69,34521600,66,79,5,63,9,1,189513,178562,2,0,7,353,0,-1,68,266272,80
483,121,230,250,370000,135,0,1923,255,100,3,39,215,3,50,Villarreal CF,0,74,-1,2,206545,4,8,-1,4,0,2,6,1,24500,2,517,5,461,1,80,80,80,81,2,0,50,79,79,2,0,68,206545,1,148532,58,146562,1,0,0,58,4,146562,7,483,0,270388,1,0,2,0,192789,1,0,2,0,206545,0,0,0,1,51,32930000,62,80,5,65,5,1,208093,206545,2,0,7,353,0,-1,58,1056820,82
485,114,1,1,158100,58,1,1896,240,1,2,52,1,6,157,Hannover 96,1,76,-1,2,158905,4,5,-1,3,0,2,5,0,49200,1,208,3,175,1,74,75,75,74,2,9,70,74,74,1,0,43,158905,1,139360,33,158905,1,0,1,53,2,158905,5,485,0,266336,1,0,2,0,229476,2,0,5,0,158905,2,0,0,0,70,10000000,61,74,7,65,4,1,205431,158905,2,0,3,353,0,-1,33,266336,73
487,76,36,110,4520,255,255,1899,128,140,3,52,0,3,255,VfL Osnabrück,128,58,-1,3,193564,4,5,-1,4,0,2,4,0,16667,1,635,4,531,1,64,65,65,66,2,8,39,66,65,1,0,32,193564,1,99728,51,193564,0,0,0,72,9,193564,8,487,0,116112,2,0,2,0,193564,0,0,2,0,193564,0,0,0,1,37,520000,52,64,4,32,7,1,238657,193564,2,0,1,353,0,-1,62,156048,66
492,76,1,205,6280,1,1,1926,255,19,2,50,255,4,1,SV Wehen Wiesbaden,255,74,-1,2,186415,4,8,-1,4,0,2,1,0,12566,1,636,6,169,1,66,67,67,68,2,8,51,66,65,1,0,57,186415,1,168088,37,186415,1,0,0,57,2,186415,2,492,0,286872,2,0,2,0,216288,1,0,3,0,186415,0,0,0,0,50,680000,53,66,5,35,2,1,189607,186415,2,0,1,353,0,-1,67,542872,68
503,116,1,1,11210,1,255,1953,55,1,3,51,98,4,205,Dynamo Dresden,15,74,-1,2,177105,4,6,-1,6,0,2,7,0,32066,1,567,5,506,1,68,69,68,68,2,13,38,70,70,1,0,35,211872,1,164864,54,177105,0,0,0,55,2,211872,6,503,0,295936,2,0,2,0,211840,0,0,7,0,211872,0,0,0,0,40,2000000,55,69,7,35,6,1,231344,177105,2,0,1,353,0,-1,55,1073152,69
506,116,55,84,11140,100,202,1949,255,138,2,50,255,4,174,Erzgebirge Aue,255,66,-1,4,197226,4,2,-1,6,0,2,2,0,15690,1,568,4,503,1,68,69,69,67,2,12,71,68,68,1,0,38,45473,1,172041,68,234281,1,0,0,68,2,234281,1,506,0,167945,2,0,2,0,182520,2,0,5,0,234281,0,0,0,0,73,1600000,66,68,4,63,8,1,234281,197226,2,0,1,353,0,-1,58,299017,68
517,119,1,1,38000,255,255,1904,255,1,4,-23,255,2,255,Botafogo,255,49,-1,1,230348,0,6,-1,3,0,2,6,0,44661,0,402,6,567,1,72,72,72,73,2,-43,72,71,71,1,1,69,230348,0,1049608,47,230348,1,0,0,43,5,230348,6,517,0,1069064,2,0,2,0,230231,2,0,3,0,230348,2,0,1,1,68,4800000,79,72,6,73,7,-3,223771,230484,7,0,4,353,0,-1,67,526344,73
518,123,70,55,5850,30,250,1949,55,160,3,42,70,3,30,Chaves,160,67,-1,4,207412,0,2,-1,6,0,2,3,0,12000,0,589,4,10019,1,72,72,72,72,2,-7,38,72,72,1,0,59,242380,1,312472,53,242380,0,0,0,69,2,207412,3,518,0,181400,2,0,2,0,207412,0,0,7,0,207412,0,0,0,0,39,1000000,59,72,4,39,3,0,202395,207412,2,0,1,353,0,-1,69,1052824,72
531,76,150,0,5240,1,1,1906,255,94,1,51,255,2,1,Preußen Münster,255,68,-1,4,204044,4,6,-1,6,0,2,4,0,14300,1,609,3,159,1,64,63,62,64,2,7,52,62,64,1,0,34,204044,1,165256,54,238595,1,0,0,64,2,238595,6,531,0,139656,2,0,2,0,211874,1,0,2,0,204044,0,0,0,0,52,550000,69,64,3,50,7,1,216979,204044,2,0,1,353,0,-1,54,1053064,63
543,116,0,227,7160,255,255,1907,169,15,2,49,163,9,255,Jahn Regensburg,155,60,-1,3,213644,4,2,-1,7,0,2,3,0,15210,1,615,6,111239,1,67,67,66,69,2,12,69,67,67,1,0,54,213644,0,102528,64,213644,1,0,0,74,2,213644,2,543,0,118912,2,0,2,0,211920,2,0,7,0,213644,0,0,0,0,73,1000000,68,68,5,67,7,1,211920,213644,2,0,1,353,0,-1,64,135296,66
550,76,1,1,4090,255,255,1921,15,1,2,49,15,1,255,VfR Aalen,15,27,-1,0,189603,4,4,-1,3,0,2,3,0,14500,1,608,3,111235,1,65,67,67,64,2,10,68,66,65,1,0,35,189603,2,155664,38,189603,0,0,0,25,2,189603,4,550,0,542736,2,0,2,0,189267,3,1,4,0,189603,0,0,0,1,72,500000,78,65,5,78,9,1,189603,189603,2,0,1,353,0,-1,78,526352,69
561,45,220,85,2150,1,1,1889,85,20,2,51,200,2,1,Forest Green Rovers,20,45,-1,1,189836,4,6,-1,4,0,2,1,0,5147,0,628,4,1936,2,63,63,63,64,2,-2,52,64,63,0,0,49,173498,1,1049600,33,173498,0,0,0,37,2,173498,1,561,0,1056768,2,0,2,0,186172,1,0,2,0,173498,0,0,0,0,51,750000,49,63,4,57,2,0,179860,173498,2,0,1,353,0,-1,33,1052672,66
563,146,0,242,1075,255,255,1928,210,0,1,54,22,3,255,Sligo Rovers,8,48,-1,1,205053,4,5,-1,4,0,2,2,0,5500,0,455,3,445,1,59,55,56,57,2,-8,36,56,57,1,0,56,205053,1,1082496,52,205053,1,0,5,33,4,205053,3,563,0,1082496,2,0,2,0,206082,0,0,4,0,205053,3,0,0,0,38,600000,38,57,3,38,8,0,205053,205053,2,0,1,353,0,-1,38,542848,57
567,119,112,5,42000,38,182,1902,255,67,3,-23,255,2,6,Fluminense,255,66,-1,4,230337,0,9,-1,6,0,2,8,0,78838,0,402,4,517,1,74,73,74,71,2,-43,70,72,72,1,0,67,230337,2,99345,77,230337,0,0,1,67,4,230337,10,567,0,167953,2,0,2,0,230234,2,0,3,0,230337,4,0,0,1,70,9400000,73,73,4,65,4,-3,230278,230337,7,0,5,353,0,-1,37,1085457,71
568,119,52,4,90000,255,255,1921,255,170,4,-20,255,1,255,Cruzeiro,255,47,-1,1,230479,0,10,-1,4,0,2,6,0,61846,1,44,4,1035,1,72,73,72,73,2,-44,40,75,75,1,0,70,230479,1,181253,50,244955,1,0,5,37,2,244955,6,568,0,1098757,1,0,2,0,222402,0,1,5,0,230479,4,0,0,1,36,12100000,36,73,4,36,4,-3,230502,230281,7,0,6,353,0,-1,66,1105925,73
573,121,90,25,105000,255,255,1994,83,170,3,36,140,3,255,Málaga CF,195,46,-1,1,210258,4,10,-1,4,0,2,5,0,30044,2,298,3,481,1,73,74,74,71,2,-4,51,73,72,2,0,43,210258,0,139584,47,231640,1,0,0,35,2,231640,6,573,0,1057088,0,0,2,0,232437,1,0,2,0,210258,0,0,0,0,50,10584000,43,73,3,55,7,1,178616,210258,2,0,2,353,0,-1,77,526656,73
576,116,83,0,8850,255,255,1900,224,151,2,54,39,2,255,Holstein Kiel,56,68,-1,3,221671,4,2,-1,7,0,2,4,0,11935,1,642,7,110329,1,69,68,69,65,2,10,37,67,68,1,0,56,212321,0,99466,40,221671,1,0,0,66,2,221671,6,576,0,132234,2,0,2,0,193310,0,1,4,0,221671,1,0,0,0,36,1700000,36,68,6,36,6,1,238569,221671,2,0,1,353,0,-1,36,139402,63
605,124,1,1,17580,255,255,1957,1,204,5,24,1,5,255,Al Hilal,153,68,-1,4,221370,4,10,-1,5,0,2,7,0,62685,1,405,6,607,1,74,74,75,76,2,46,40,71,70,1,0,54,221370,1,115368,53,191269,1,0,8,64,2,210602,6,605,0,181416,0,0,2,0,192708,0,1,5,0,221370,15,0,0,1,39,7700000,54,73,6,34,1,3,192708,221370,9,0,7,353,0,-1,64,1073320,77
607,124,255,255,25450,1,1,1927,255,1,5,21,255,5,1,Al Ittihad,255,60,-1,4,188414,4,8,-1,5,0,2,6,0,62241,1,232,3,605,1,72,70,72,71,2,39,39,69,69,1,0,42,187572,1,66577,51,188414,1,0,9,72,4,188414,9,607,0,99345,0,0,2,0,208965,0,1,4,0,187572,8,0,0,0,37,8584285,42,70,3,32,2,3,208977,188414,9,0,5,353,0,-1,42,1052689,70
614,137,1,255,10000,255,255,1910,224,1,2,41,34,2,255,AC Ajaccio,16,43,-1,1,50955,4,5,-1,4,0,2,1,0,10446,0,6,5,219,1,68,69,68,71,2,8,72,68,67,0,0,53,50955,1,1056776,42,50955,0,0,0,46,2,50955,2,614,0,1052680,2,0,2,0,50955,2,0,3,0,50955,0,0,0,0,69,2625000,63,68,5,76,8,1,50955,50955,2,0,1,353,0,-1,42,526344,71
621,67,1,1,2150,1,255,1995,255,1,2,55,240,2,215,Livingston,1,44,-1,1,243841,4,1,-1,4,0,1,1,0,8716,1,673,3,81,1,63,63,63,63,2,-3,67,66,63,1,0,40,205026,1,1052672,40,205026,0,0,0,49,2,205026,4,621,0,1052672,0,0,2,0,222045,2,1,2,0,243841,0,0,0,0,71,650000,70,63,3,79,7,0,200980,243841,2,0,1,353,0,-1,40,526336,63
634,118,240,240,16000,90,24,1968,4,50,2,50,4,2,160,Fortuna Sittard,4,45,-1,1,216289,4,3,-1,4,0,2,2,0,12511,2,677,4,100651,2,68,68,70,68,2,5,71,66,66,2,0,52,216289,1,172296,66,216289,1,0,2,41,2,216289,4,634,0,1085704,0,0,2,0,223566,2,0,2,0,216289,0,0,0,0,67,3100000,62,67,4,71,8,1,223157,216289,2,0,1,353,0,-1,56,526600,68
635,118,91,1,19000,255,255,1954,0,158,2,51,166,2,255,De Graafschap,226,75,-1,2,204840,4,2,-1,4,0,2,3,0,12600,2,138,4,1909,2,66,65,65,67,2,6,70,64,66,2,0,43,184635,1,139265,53,229215,1,0,0,53,2,229215,4,635,0,266241,0,0,2,0,209703,2,0,3,0,184635,0,0,0,0,70,3500000,77,66,4,65,8,1,215701,204840,2,0,1,353,0,-1,53,526337,65
650,118,145,13,46000,4,255,1905,10,49,1,52,10,3,236,ADO Den Haag,10,47,-1,1,200831,4,5,-1,4,0,2,4,0,15000,2,133,3,245,2,69,67,66,68,2,4,71,67,71,2,0,68,200831,0,1052672,50,200831,0,0,2,49,2,200831,5,650,0,1069056,1,0,2,0,188621,2,0,4,0,200831,2,0,0,0,73,5350000,78,69,5,79,8,1,200831,200831,2,0,1,353,0,-1,80,526336,66
665,123,120,13,6000,255,255,1910,255,1,2,39,255,2,255,Vitória Setúbal,255,48,-1,1,179884,0,3,-1,3,0,2,2,0,15497,1,444,5,1889,1,71,71,71,69,2,-9,51,71,71,1,0,38,190779,2,1089568,64,179884,0,0,3,41,6,190779,8,665,0,1089568,2,0,2,0,185200,1,0,2,0,190779,0,0,0,0,52,890000,38,71,5,41,10,0,190779,179884,2,0,1,353,0,-1,54,526368,69
666,123,0,255,2100,255,255,1930,240,0,2,41,25,2,255,Desportivo Aves,25,47,-1,1,186748,0,2,-1,4,0,2,1,0,8560,0,645,4,1900,1,69,70,69,71,2,-8,69,70,70,1,0,42,204823,1,1089536,76,237532,1,0,1,41,2,193695,3,666,0,1085440,1,0,2,0,193695,2,1,3,0,186748,0,0,0,0,73,860000,72,70,5,71,1,0,219514,186748,2,0,1,353,0,-1,56,542720,71
670,70,5,5,4600,255,255,1904,40,5,5,50,40,1,255,Charleroi,40,47,-1,1,210112,4,6,-1,4,0,2,3,0,15000,2,103,4,232,2,70,70,69,71,2,4,68,71,70,2,0,49,210112,1,270408,39,210112,0,0,0,31,2,210112,1,670,0,1052744,0,0,2,0,202416,2,0,3,0,210112,0,0,0,0,72,1900000,79,70,4,61,6,1,210112,210112,2,0,2,353,0,-1,39,526408,70
673,70,72,55,71000,255,255,1988,255,186,5,51,255,5,255,Genk,255,66,-1,4,231969,4,7,-1,6,0,2,5,0,23718,1,179,6,232,1,74,73,75,72,2,5,51,72,71,1,0,34,231969,1,99336,34,231969,1,0,4,64,2,203895,6,673,0,139272,0,0,2,0,203895,1,0,4,0,231969,3,0,0,0,52,8500000,38,72,6,41,6,1,207421,231969,2,0,4,353,0,-1,34,1056776,72
674,70,58,1,60000,255,255,1900,1,183,4,51,108,4,255,Gent,153,65,-1,4,238053,4,8,-1,6,0,2,5,0,19999,1,181,6,231,1,72,72,72,69,2,3,49,72,73,1,0,66,238053,1,312326,76,238053,1,0,3,66,2,238053,2,674,0,188422,0,0,2,0,158375,1,0,4,0,238053,1,0,0,0,57,12500000,56,73,5,68,2,1,240702,238053,2,0,5,353,0,-1,76,1105926,69
680,70,219,246,4600,200,46,1924,16,1,2,50,35,5,65,Sint-Truiden,140,26,-1,0,206544,4,3,-1,4,0,2,3,0,14600,1,451,4,673,1,69,69,69,68,2,5,72,69,69,1,0,38,206544,1,286980,37,206544,1,0,0,26,2,206544,5,680,0,528644,0,0,2,0,155694,2,0,3,0,206544,0,0,0,0,68,1800000,79,69,4,73,6,1,206544,206544,2,0,1,353,0,-1,37,526596,68
682,70,28,237,12000,1,255,1981,1,36,3,51,166,2,226,Oostende,80,49,-1,1,243581,4,7,-1,4,0,2,3,0,8432,1,358,3,231,1,70,70,71,69,2,2,50,69,70,1,0,37,243581,0,1089542,71,179811,1,0,0,47,2,179811,3,682,0,1089542,2,0,2,0,193690,1,0,2,0,243581,0,0,0,0,49,2850000,37,70,4,67,8,1,212210,243581,2,0,2,353,0,-1,31,561158,67
687,66,223,250,139000,1,1,1994,250,22,2,40,245,2,1,Columbus Crew SC,22,68,-1,4,211119,4,7,-1,5,0,2,3,0,19968,1,114,4,693,1,73,71,73,70,2,-82,40,70,69,1,0,45,167669,1,132136,34,211119,1,0,1,65,2,167669,5,687,0,148520,0,0,2,0,212424,0,0,6,0,167669,1,0,0,1,40,5000000,45,70,5,35,5,-5,212478,167669,2,0,3,353,0,-1,75,132136,70
688,66,1,1,220000,255,255,1995,239,1,1,38,47,1,255,D.C. United,36,66,-1,4,222644,4,5,-1,3,0,2,4,0,20000,1,522,4,689,1,70,70,71,74,2,-76,52,65,66,1,0,64,222644,0,155650,34,222644,1,0,3,64,2,222644,4,688,0,155650,1,0,2,0,206630,1,1,3,0,222644,4,0,0,0,52,5000000,34,70,5,61,5,-5,217714,54050,2,0,4,353,0,-1,34,1073154,74
689,66,0,246,233000,255,255,1995,31,29,1,40,42,1,255,New York Red Bulls,62,59,-1,3,226376,4,8,-1,5,0,1,5,0,25000,1,210,6,112828,1,71,70,71,71,2,-74,39,69,70,1,0,67,226273,1,66688,31,226376,1,0,0,77,5,199729,6,689,0,66688,1,0,2,0,179820,0,0,6,0,199729,0,0,0,0,37,5000000,47,71,6,37,5,-5,199729,199729,2,0,4,353,0,-1,47,139392,73
691,66,52,38,225000,255,255,1995,235,84,1,42,22,2,255,New England Revolution,52,60,-1,4,186721,4,5,-1,5,0,2,3,0,20000,1,166,5,689,1,69,69,70,70,2,-71,53,68,68,1,0,35,186721,1,73860,45,201895,1,0,1,75,2,201895,5,691,0,73860,2,0,2,0,186721,1,0,3,0,186721,0,0,0,0,53,5000000,35,68,6,39,5,-5,223054,186721,2,0,3,353,0,-1,45,73860,70
693,66,0,246,247000,255,255,1997,15,29,2,41,38,2,255,Chicago Fire,106,76,-1,2,204874,4,5,-1,7,0,2,2,0,20000,1,73,3,687,1,69,70,70,68,2,-87,36,71,68,1,0,33,204874,1,263448,37,204874,1,0,4,53,4,204874,3,693,0,263448,2,0,2,0,176071,0,1,6,0,204874,1,0,0,0,38,5000000,33,68,3,33,5,-6,201549,121944,2,1,1,353,0,-1,33,1052952,70
694,66,1,129,158000,255,153,1995,155,14,1,39,1,2,204,Colorado Rapids,14,44,-1,1,213209,4,2,-1,4,0,2,2,0,18061,1,115,6,111065,1,68,67,68,67,2,-104,67,66,68,1,0,48,205585,0,1069124,44,205585,0,0,0,41,2,207580,3,694,0,1069124,1,0,2,0,201940,2,0,2,0,213209,1,0,0,0,71,5000000,78,68,6,71,5,-7,213209,213209,2,0,1,353,0,-1,74,1069124,67
695,66,0,220,185000,255,255,1995,1,0,2,33,62,2,255,FC Dallas,127,67,-1,4,221306,4,7,-1,6,0,1,3,0,20500,1,169,3,698,1,72,71,72,70,2,-96,50,71,69,1,0,35,221306,1,172048,35,221306,0,0,2,65,5,221306,6,695,0,139280,1,0,2,0,206662,1,0,3,0,221306,0,0,0,0,53,5000000,67,70,3,39,5,-6,215083,221306,2,0,2,353,0,-1,35,139280,70
696,66,156,118,243000,43,12,1995,255,191,1,39,255,2,24,Sporting KC,255,66,-1,4,190557,4,7,-1,6,0,2,3,0,18467,1,240,6,698,1,72,72,73,70,2,-94,37,73,72,1,0,36,190557,1,132466,50,190557,1,0,4,66,2,190557,4,696,0,132466,0,0,2,0,190772,0,1,7,0,190557,2,0,0,0,36,5000000,46,71,6,36,5,-6,199562,190557,2,0,2,353,0,-1,46,139634,71
697,66,36,0,304000,0,255,1995,255,93,3,34,255,1,210,Los Angeles Galaxy,255,43,-1,1,184575,4,8,-1,4,0,2,7,0,27000,1,97,6,112996,1,72,71,71,80,2,-118,37,67,68,1,0,47,170370,1,1049600,34,170370,1,0,2,39,2,170370,3,697,0,1065984,2,0,2,0,190552,0,0,6,0,184575,5,0,0,0,40,5000000,35,71,6,35,5,-8,184575,41236,2,0,5,353,0,-1,65,1049600,81
698,66,135,246,183000,255,255,2005,1,18,1,30,1,2,255,Houston Dynamo,1,49,-1,1,39386,4,6,-1,4,0,1,4,0,22039,1,220,4,695,1,70,70,72,67,2,-95,73,68,68,1,0,46,39386,1,526344,48,39386,0,0,0,33,6,39386,4,698,0,1052680,1,0,2,0,39386,2,0,3,0,39386,2,0,0,0,69,5000000,76,69,4,63,5,-6,222590,39386,2,1,2,353,0,-1,48,1052680,72
700,68,220,249,8000,1,1,1904,255,36,3,57,255,2,1,IF Elfsborg,30,66,-1,4,205834,4,8,-1,6,0,2,2,0,16200,1,62,4,319,1,67,67,67,69,2,12,38,61,63,1,0,42,205834,1,263174,51,205834,0,0,3,62,2,205834,7,700,0,132102,1,0,2,0,138247,0,0,6,0,205834,6,0,0,1,37,1200000,52,67,4,32,6,1,10466,205834,2,0,1,353,0,-1,52,139270,71
702,68,68,17,7800,255,255,1897,32,126,4,58,95,2,255,IFK Norrköping,223,67,-1,4,209039,4,8,-1,6,0,1,4,0,15734,1,349,4,705,1,67,69,69,67,2,16,36,70,68,1,0,33,209039,2,132138,32,213512,1,0,6,63,2,213512,7,702,0,132138,0,0,2,0,23823,0,0,6,0,209039,13,0,0,0,38,950000,53,68,4,33,4,1,202043,209039,2,0,2,353,0,-1,53,132138,69
703,68,11,38,1600,255,255,1926,1,183,2,55,97,5,255,Trelleborgs FF,174,44,-1,1,192264,4,1,-1,3,0,1,1,0,10000,1,662,3,320,1,61,62,64,63,2,13,73,59,61,1,0,46,192264,2,1052672,38,192264,0,0,0,45,2,192264,6,703,0,1052672,2,0,2,0,242314,2,0,2,0,192264,0,0,0,0,69,550000,76,62,3,75,5,1,192264,192264,2,0,1,353,0,-1,38,526336,63
705,68,255,255,4400,1,1,1908,245,255,2,59,255,1,1,Örebro SK,235,29,-1,0,197240,4,5,-1,2,0,1,3,0,12650,0,359,2,702,1,65,65,65,65,2,15,50,63,63,1,0,22,197240,0,1049608,55,197240,0,0,0,30,2,197240,6,705,0,532488,1,0,2,0,181013,1,0,2,0,181013,0,0,0,1,53,800000,47,64,2,39,5,1,197240,197240,2,0,1,353,0,-1,55,526344,66
708,68,97,1,8700,255,255,1897,1,33,3,59,77,2,255,Hammarby IF,24,46,-1,1,187339,4,6,-1,4,0,1,3,0,30000,1,464,4,710,1,68,67,68,69,2,18,39,63,65,1,0,34,187339,1,66692,51,187339,1,0,0,33,2,216286,2,708,0,1049732,2,0,2,0,187339,0,0,2,0,187339,1,0,0,0,37,1800000,32,67,4,32,3,1,187339,187339,2,0,1,353,0,-1,32,532612,69
710,68,128,1,8500,95,47,1891,15,255,3,59,125,1,62,Djurgårdens IF,210,59,-1,4,233040,4,6,-1,5,0,2,3,0,30000,1,464,4,433,1,66,66,64,67,2,18,38,67,69,1,0,50,214658,2,165000,34,233040,1,0,5,80,4,227689,4,710,0,66696,1,0,2,0,45842,0,1,6,0,227689,11,0,0,0,40,1700000,50,67,4,40,4,1,227689,227689,2,0,2,353,0,-1,50,1069192,66
711,68,204,255,9500,1,1,1940,255,1,5,58,255,1,1,BK Häcken,255,66,-1,4,192165,4,6,-1,4,0,1,2,0,6500,0,218,5,319,1,66,66,68,67,2,12,36,64,64,1,0,41,157305,1,99328,50,237152,1,0,1,61,2,192169,7,711,0,164864,0,0,2,0,157305,0,0,5,0,192165,0,0,0,0,36,750000,31,66,5,31,7,1,192165,192165,2,0,1,353,0,-1,31,565248,68
741,119,23,168,41000,255,255,1966,255,31,2,36,255,4,255,Antalyaspor,255,44,-1,1,185204,4,5,-1,4,0,1,4,0,32539,1,20,6,742,1,69,70,69,71,2,30,52,69,68,1,0,59,185204,0,1099025,69,188045,1,0,0,31,2,188045,5,741,0,1106193,1,0,2,0,185204,1,0,2,0,185204,0,0,0,0,52,6628333,59,70,6,31,6,2,210404,185204,9,0,3,353,0,-1,69,542993,71
742,119,130,8,73000,255,255,1963,14,57,2,40,177,3,255,Bursaspor,67,48,-1,1,223030,4,6,-1,4,0,2,5,0,43331,1,85,6,327,1,70,71,70,73,2,29,53,68,70,1,0,45,208015,1,1099105,71,229556,1,0,1,47,4,204213,7,742,0,1106273,1,0,2,0,224489,1,0,2,0,223136,1,0,0,0,49,7181375,45,71,6,67,8,2,200911,223030,9,0,5,353,0,-1,71,299361,74
744,123,110,0,9700,255,255,1939,255,10,2,41,255,4,255,Rio Ave,255,67,-1,4,239482,0,6,-1,5,0,1,3,0,9065,0,516,6,1896,1,72,71,72,69,2,-9,40,69,69,2,0,70,239482,1,66740,24,239482,1,0,0,70,4,239482,10,744,0,132276,0,0,2,0,3281,0,0,7,0,239482,0,0,0,1,40,1100500,50,71,6,40,8,0,235512,239482,2,1,2,353,0,-1,50,1073332,69
749,119,1,1,4500,255,255,2005,1,255,2,39,200,3,255,BB Erzurumspor,255,75,-1,2,183883,4,1,-1,7,0,2,3,0,23700,1,675,6,101037,1,69,69,70,70,2,41,50,65,65,1,0,38,178029,1,139520,38,183883,1,0,0,58,4,183883,6,749,0,270592,2,0,2,0,223018,1,0,5,0,183883,0,0,0,0,51,1725000,52,68,6,45,7,2,204372,183883,9,0,1,353,0,-1,38,526592,71
753,146,88,29,1035,252,252,1930,40,192,1,52,100,3,252,Waterford FC,206,43,-1,1,164458,4,5,-1,4,0,2,3,0,5500,0,663,4,422,0,61,61,62,62,2,-7,38,59,57,0,0,43,152746,1,1049632,48,207513,1,0,2,31,2,207513,2,753,0,1049632,2,0,2,0,152746,0,0,3,0,164458,6,0,1,0,39,700000,39,60,4,39,7,0,210319,164458,2,0,1,353,0,-1,39,1056800,63
819,150,76,9,82000,255,255,1992,10,187,4,55,74,2,255,FC København,177,75,-1,2,168621,4,10,-1,7,0,2,5,0,38065,1,248,4,269,1,73,69,71,72,2,13,52,68,70,1,0,42,168621,0,279720,32,200108,0,0,8,52,2,168621,4,819,0,286888,2,0,2,0,168621,1,1,5,0,168621,12,0,0,0,50,4600000,54,71,4,53,5,1,168621,168621,2,1,4,353,0,-1,72,1069224,71
